,tipo_de_ato,numero_do_ato,orgao_unidade,publicacao,ementa
0,Solução de Consulta,5004, Disit/SRRF05 ,20/04/2021," Assunto: Simples Nacional SIMPLES NACIONAL. EXPORTAÇÃO DE SERVIÇOS PARA O EXTERIOR. PIS. COFINS. No Simples Nacional, a Contribuição para o PIS/Pasep e a Cofins não incidem sobre as receitas decorrentes da exportação de serviços para o exterior, assim considerada a prestação de serviços para pessoa física ou jurídica residente ou domiciliada no exterior, cujo pagamento represente ingresso de divisas, exceto quanto aos serviços desenvolvidos no Brasil cujo resultado aqui se verifique. Ou seja, para fins da não incidência, em pauta, há a necessidade de que o resultado dos serviços sejam verificados no exterior. Dispositivos Legais: Resolução CGSN nº 140, de 2018, art. 25, § 4º. SOLUÇÃO DE CONSULTA VINCULADA EM PARTE ÀS SOLUÇÕES DE CONSULTA COSIT Nº 78, DE 20 DE MARÇO DE 2019, E Nº 117, DE 12 DE MAIO DE 2015. Assunto: Normas de Administração Tributária A consulta formalizada perante ente não competente para solucioná-la será declarada ineficaz. Não produz efeitos a consulta relativa a tributo não administrado pela RFB, como o ISS. Dispositivos legais: Instrução Normativa RFB nº 1.396, de 2013, art. 1º; Resolução CGSN nº 140, de 2018, art. 125.   "
1,Solução de Consulta,7101, Disit/SRRF07 ,16/04/2021," Assunto: Simples Nacional SERVIÇOS DE INSTALAÇÃO HIDRÁULICA. TRIBUTAÇÃO. ANEXO III DA LEI COMPLEMENTAR Nº123, DE 14 DE DEZEMBRO DE 2006. Os serviços de instalação hidráulica são tributados pelo Anexo III da Lei Complementar nº 123, de 2006, e não estão sujeitos à retenção da contribuição previdenciária prevista no art. 31 da Lei nº 8.212, de 1991, ainda que prestados mediante empreitada. Entretanto, se forem prestados mediante cessão ou locação de mão-de-obra, constituem atividade vedada ao Simples Nacional. SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE DIVERGÊNCIA COSIT Nº 36, DE 4 DE DEZEMBRO DE 2013. Dispositivos Legais: Lei Complementar nº 123, de 2006, art. 18, § 5º-B, IX.   "
2,Solução de Consulta,7100, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131 DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
3,Solução de Consulta,7099, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131, DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
4,Solução de Consulta,7098, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131, DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; Instrução Normativa RFB nº 1.243, de 2012, artigos 1º a 3º.   "
5,Solução de Consulta,7097, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF n° 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo n° 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo n° 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA Nº 131 - COSIT, DE 8 DE OUTUBRO DE 2020 (DOU DE 19/10/2020). Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
6,Solução de Consulta,7096, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131, DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
7,Solução de Consulta,7095, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulada em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131 DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
8,Solução de Consulta,7094, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulado em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131, DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
9,Solução de Consulta,7093, Disit/SRRF07 ,16/04/2021," Assunto: Normas Gerais de Direito Tributário PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE OBRIGAÇÕES PRINCIPAIS E ACESSÓRIAS. PORTARIA MF Nº 12, DE 2012, E INSTRUÇÃO NORMATIVA RFB Nº 1.243, DE 2012. SITUAÇÃO DE CALAMIDADE PÚBLICA DE ÂMBITO NACIONAL. INAPLICABILIDADE. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, concedem aos contribuintes localizados em municípios específicos, em estado de calamidade localizado, um prazo maior para honrar com suas obrigações tributárias. Trata-se de situação distinta da calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, dada sua abrangência nacional, decorrente de uma pandemia global. A Portaria MF nº 12, de 2012, e a Instrução Normativa RFB nº 1.243, de 2012, não se aplicam à situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, seja do ponto de vista fático (dado que foi formulado em razão de desastres naturais localizados em determinados municípios - não se confundindo com uma pandemia global), seja do ponto de vista normativo (não se confunde uma calamidade municipal reconhecida por decreto estadual com uma calamidade de âmbito nacional reconhecida por decreto legislativo). SOLUÇÃO DE CONSULTA VINCULADA À SOLUÇÃO DE CONSULTA COSIT Nº 131, DE 8 DE OUTUBRO DE 2020. Dispositivos Legais: Decreto Legislativo nº 6, de 2020, artigo 1º; Portaria MF nº 12, de 2012, artigos 1º a 3º; IN RFB nº 1.243, de 2012, artigos 1º a 3º.   "
